category,group,image_name,image_path,musiq_score
backpack,group_000000315156,edit_1_1ac0d168.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000315156/edit_1_1ac0d168.jpg,75.78023529052734
backpack,group_000000315156,original_000000315156.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000315156/original_000000315156.jpg,73.13163757324219
backpack,group_000000399308,edit_1_6170a80e.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000399308/edit_1_6170a80e.jpg,63.08538818359375
backpack,group_000000399308,edit_2_65345ff6.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000399308/edit_2_65345ff6.jpg,63.25394058227539
backpack,group_000000399308,original_000000399308.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000399308/original_000000399308.jpg,62.853416442871094
backpack,group_102987,edit_1_39fb858c.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_102987/edit_1_39fb858c.jpg,58.08709716796875
backpack,group_102987,original_102987.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_102987/original_102987.jpg,72.3249740600586
backpack,group_1496e3f0,edit_1_1496e3f0n.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_1496e3f0/edit_1_1496e3f0n.jpg,61.66325759887695
backpack,group_1496e3f0,original_1496e3f0.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_1496e3f0/original_1496e3f0.jpg,74.34998321533203
backpack,group_149881,edit_1_7ed3d418.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_149881/edit_1_7ed3d418.jpg,72.3730239868164
backpack,group_149881,original_149881.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_149881/original_149881.jpg,61.03677749633789
backpack,group_15b17d6a,edit_1_bf4f89.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_15b17d6a/edit_1_bf4f89.jpg,75.67798614501953
backpack,group_15b17d6a,original_15b17d6a.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_15b17d6a/original_15b17d6a.jpg,76.64791107177734
backpack,group_20046ad2,edit_1_20046ad2n.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_20046ad2/edit_1_20046ad2n.jpg,72.40921783447266
backpack,group_20046ad2,original_20046ad2.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_20046ad2/original_20046ad2.jpg,76.64352416992188
backpack,group_212868,edit_1_c0d82f92.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_212868/edit_1_c0d82f92.jpg,71.83734130859375
backpack,group_212868,edit_2_16a6c9a2.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_212868/edit_2_16a6c9a2.jpg,52.969276428222656
backpack,group_212868,original_212868.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_212868/original_212868.jpg,35.455078125
backpack,group_231632,edit_1_47c03d9d.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_231632/edit_1_47c03d9d.jpg,61.55723571777344
backpack,group_231632,edit_2_49576ac3.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_231632/edit_2_49576ac3.jpg,61.98171615600586
backpack,group_231632,original_231632.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_231632/original_231632.jpg,67.93376922607422
backpack,group_233646,edit_1_470ab291.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_233646/edit_1_470ab291.jpg,61.04599380493164
backpack,group_233646,edit_2_8899b550.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_233646/edit_2_8899b550.jpg,57.235145568847656
backpack,group_233646,original_233646.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_233646/original_233646.jpg,64.68550872802734
backpack,group_251660,edit_1_ea203da4.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_251660/edit_1_ea203da4.jpg,59.22526550292969
backpack,group_251660,original_251660.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_251660/original_251660.jpg,68.95659637451172
backpack,group_266866,edit_1_11102c4f.jpg,/home/debajyoti/paridhi_mtp/nas_final/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_266866/edit_1_11102c4f.jpg,57.7933235168457
