category,group,image_path,musiq_score,raw_score
backpack,group_000000180296,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000180296/edit_1_fbae129f.jpg,100.0,77.9906234741211
backpack,group_000000180296,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000180296/original_000000180296.jpg,100.0,76.62236785888672
backpack,group_000000433110,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000433110/edit_1_0b35e9c6.jpg,32.42516595270605,59.11844253540039
backpack,group_000000433110,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000433110/edit_2_8cbe3925.jpg,60.18310449714469,66.26776885986328
backpack,group_000000433110,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000433110/original_000000433110.jpg,70.7135236922213,68.97998046875
backpack,group_000000559490,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000559490/edit_1_d070ec30.jpg,74.17462938993951,69.87142181396484
backpack,group_000000559490,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000559490/edit_2_d29a9d2d.jpg,85.62368136488003,72.82023620605469
backpack,group_000000559490,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_000000559490/original_000000559490.jpg,70.2980180168972,68.87296295166016
backpack,group_03a99854,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_03a99854/edit_1_03a99854n.jpg,100.0,76.72307586669922
backpack,group_03a99854,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_03a99854/original_03a99854.jpg,98.52758082950955,76.14376068115234
backpack,group_149881,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_149881/edit_1_7ed3d418.jpg,83.8873078227008,72.37301635742188
backpack,group_149881,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_149881/original_149881.jpg,39.87332808730389,61.03678894042969
backpack,group_14b18464,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_14b18464/edit_1_14b18464n.jpg,49.10793949974326,63.415252685546875
backpack,group_14b18464,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_14b18464/original_14b18464.jpg,77.59316849070609,70.75189971923828
backpack,group_1a57e007,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_1a57e007/edit_1_49d605.jpg,100.0,76.68059539794922
backpack,group_1a57e007,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_1a57e007/original_1a57e007.jpg,99.17493671662245,76.31049346923828
backpack,group_20046ad2,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_20046ad2/edit_1_20046ad2n.jpg,84.02789311785217,72.40922546386719
backpack,group_20046ad2,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_20046ad2/original_20046ad2.jpg,100.0,76.64350128173828
backpack,group_226176,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_226176/edit_1_d35f7b8f.jpg,50.00557038869643,63.646446228027344
backpack,group_226176,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_226176/original_226176.jpg,70.8803835673978,69.02295684814453
backpack,group_235621,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_235621/edit_1_73dfde85.jpg,35.66994328748908,59.954166412353516
backpack,group_235621,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_235621/original_235621.jpg,74.79544410038669,70.03131866455078
backpack,group_236111,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_236111/edit_1_5cf14aae.jpg,60.12235008493326,66.25212097167969
backpack,group_236111,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_236111/edit_2_867bf9d2.jpg,52.25902292627433,64.22684478759766
backpack,group_236111,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_236111/original_236111.jpg,77.96234559426097,70.84698486328125
backpack,group_237872,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_237872/edit_1_733135e5.jpg,81.70509583186522,71.81096649169922
backpack,group_237872,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_237872/original_237872.jpg,76.83176848510756,70.55579376220703
backpack,group_251660,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_251660/edit_1_ea203da4.jpg,32.83962005239216,59.225189208984375
backpack,group_251660,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_251660/original_251660.jpg,70.62320667475048,68.95671844482422
backpack,group_252373,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_252373/edit_1_d2dfa989.jpg,76.83316071200855,70.55615234375
backpack,group_252373,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_252373/original_252373.jpg,86.80100175168806,73.12346649169922
backpack,group_256055,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_256055/edit_1_3050fde5.jpg,36.15803730368305,60.07987976074219
backpack,group_256055,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_256055/edit_2_a7c6da46.jpg,83.07300319486454,72.16328430175781
backpack,group_256055,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_256055/original_256055.jpg,54.08535802373689,64.69723510742188
backpack,group_298692,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_298692/edit_1_b2812318.jpg,100.0,76.62865447998047
backpack,group_298692,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_298692/original_298692.jpg,100.0,76.52632904052734
backpack,group_3250fb27,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_3250fb27/edit_1_3250fb27n.jpg,65.52801167930262,67.64440155029297
backpack,group_3250fb27,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_3250fb27/original_3250fb27.jpg,79.81836178437872,71.32501983642578
backpack,group_32629,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_32629/edit_1_1444150.jpg,77.33193340475162,70.68461608886719
backpack,group_32629,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_32629/original_32629.jpg,90.4974234175231,74.07551574707031
backpack,group_339ae246,/home/debajyoti/paridhi_mtp/NAS/MTP/Persuasive_Image/Persuasive_Image/home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/backpack/group_339ae246/edit_1_339ae246n.jpg,20.224578047869795,55.9760627746582
